"Država","Leto","Starost","Število"
"Estonia",1998,"Total","450,954"
"Estonia",1998,"Less than 2 years","17,700"
"Estonia",1998,"From 2 to 5 years","21,700"
"Estonia",1998,"From 5 to 10 years","83,600"
"Estonia",1998,"Over 10 years","328,000"
"Ireland",1998,"Total","1,196,900"
"Ireland",1998,"Less than 2 years","260,900"
"Ireland",1998,"From 2 to 5 years","279,300"
"Ireland",1998,"From 5 to 10 years","428,600"
"Ireland",1998,"Over 10 years","228,100"
"Greece",1998,"Total","2,676,000"
"Greece",1998,"Less than 2 years","351,000"
"Greece",1998,"From 2 to 5 years","393,000"
"Greece",1998,"From 5 to 10 years","773,000"
"Greece",1998,"Over 10 years","1,159,000"
"Spain",1998,"Less than 2 years","3,309,000"
"Spain",1998,"From 2 to 5 years","2,527,000"
"Spain",1998,"From 5 to 10 years","4,900,000"
"Spain",1998,"Over 10 years","5,314,000"
"France",1998,"Total","26,810,000"
"France",1998,"Less than 2 years","3,746,000"
"France",1998,"From 2 to 5 years","6,319,000"
"France",1998,"From 5 to 10 years","9,665,000"
"France",1998,"Over 10 years","7,079,000"
"Croatia",1998,"Total","1,000,000"
"Croatia",1998,"Less than 2 years","134,000"
"Croatia",1998,"From 2 to 5 years","64,000"
"Croatia",1998,"From 5 to 10 years","389,000"
"Croatia",1998,"Over 10 years","413,000"
"Italy",1998,"Total","31,573,000"
"Italy",1998,"Less than 2 years","4,818,000"
"Cyprus",1998,"Total","249,000"
"Cyprus",1998,"Less than 2 years","14,000"
"Cyprus",1998,"From 2 to 5 years","54,000"
"Cyprus",1998,"From 5 to 10 years","86,000"
"Cyprus",1998,"Over 10 years","95,000"
"Latvia",1998,"Total","482,670"
"Latvia",1998,"Less than 2 years","9,961"
"Latvia",1998,"From 2 to 5 years","9,850"
"Latvia",1998,"From 5 to 10 years","59,731"
"Latvia",1998,"Over 10 years","403,128"
"Lithuania",1998,"Total","980,910"
"Lithuania",1998,"Less than 2 years","7,400"
"Lithuania",1998,"From 2 to 5 years","9,900"
"Lithuania",1998,"From 5 to 10 years","128,200"
"Lithuania",1998,"Over 10 years","835,410"
"Luxembourg",1998,"Total","253,000"
"Hungary",1998,"Total","2,218,124"
"Hungary",1998,"Less than 2 years","176,032"
"Hungary",1998,"From 2 to 5 years","231,473"
"Hungary",1998,"From 5 to 10 years","484,269"
"Hungary",1998,"Over 10 years","1,326,350"
"Malta",1998,"Total","173,700"
"Netherlands",1998,"Total","6,120,000"
"Netherlands",1998,"Less than 2 years","994,000"
"Netherlands",1998,"From 2 to 5 years","1,254,000"
"Netherlands",1998,"From 5 to 10 years","2,065,000"
"Netherlands",1998,"Over 10 years","1,807,000"
"Austria",1998,"Total","3,887,000"
"Austria",1998,"Less than 2 years","537,000"
"Austria",1998,"From 2 to 5 years","821,000"
"Austria",1998,"From 5 to 10 years","1,329,000"
"Austria",1998,"Over 10 years","1,200,000"
"Poland",1998,"Total","8,890,763"
"Portugal",1998,"Total","4,587,000"
"Portugal",1998,"Less than 2 years","585,000"
"Portugal",1998,"From 2 to 5 years","707,000"
"Portugal",1998,"From 5 to 10 years","1,143,000"
"Portugal",1998,"Over 10 years","2,152,000"
"Romania",1998,"Total","2,822,254"
"Slovenia",1998,"Total","814,000"
"Slovenia",1998,"Less than 2 years","191,000"
"Slovenia",1998,"From 2 to 5 years","182,000"
"Slovenia",1998,"From 5 to 10 years","275,000"
"Slovenia",1998,"Over 10 years","166,000"
"Slovakia",1998,"Total","1,196,109"
"Finland",1998,"Total","2,021,000"
"Finland",1998,"Less than 2 years","231,000"
"Finland",1998,"From 2 to 5 years","247,000"
"Finland",1998,"From 5 to 10 years","522,000"
"Finland",1998,"Over 10 years","1,008,000"
"Sweden",1998,"Total","3,791,000"
"Sweden",1998,"Less than 2 years","540,000"
"Sweden",1998,"From 2 to 5 years","501,000"
"Sweden",1998,"From 5 to 10 years","923,000"
"Sweden",1998,"Over 10 years","1,826,000"
"United Kingdom",1998,"Total","23,922,000"
"United Kingdom",1998,"Less than 2 years","4,129,000"
"United Kingdom",1998,"From 2 to 5 years","5,362,000"
"United Kingdom",1998,"From 5 to 10 years","7,817,000"
"United Kingdom",1998,"Over 10 years","5,985,000"
"Iceland",1998,"Total","140,000"
"Iceland",1998,"Less than 2 years","35,000"
"Iceland",1998,"From 2 to 5 years","18,000"
"Iceland",1998,"From 5 to 10 years","44,000"
"Iceland",1998,"Over 10 years","44,000"
"Liechtenstein",1998,"Total","20,000"
"Norway",1998,"Total","1,786,000"
"Norway",1998,"Less than 2 years","242,000"
"Norway",1998,"From 2 to 5 years","306,000"
"Norway",1998,"From 5 to 10 years","396,000"
"Norway",1998,"Over 10 years","842,000"
"Switzerland",1998,"Total","3,383,000"
"Switzerland",1998,"Less than 2 years","529,000"
"Switzerland",1998,"From 2 to 5 years","752,000"
"Switzerland",1998,"From 5 to 10 years","1,226,000"
"Switzerland",1998,"Over 10 years","875,000"
"Former Yugoslav Republic of Macedonia, the",1998,"Total","288,678"
"Former Yugoslav Republic of Macedonia, the",1998,"Less than 2 years","14,000"
"Former Yugoslav Republic of Macedonia, the",1998,"From 2 to 5 years","34,000"
"Former Yugoslav Republic of Macedonia, the",1998,"From 5 to 10 years","43,000"
"Former Yugoslav Republic of Macedonia, the",1998,"Over 10 years","198,000"
"Turkey",1998,"Total","3,838,288"
"Belgium",1999,"Total","4,584,000"
"Belgium",1999,"Less than 2 years","733,000"
"Belgium",1999,"From 2 to 5 years","1,019,000"
"Belgium",1999,"From 5 to 10 years","1,579,000"
"Belgium",1999,"Over 10 years","1,253,000"
"Bulgaria",1999,"Total","1,908,000"
"Czech Republic",1999,"Total","3,440,000"
"Czech Republic",1999,"Less than 2 years","239,000"
"Czech Republic",1999,"From 2 to 5 years","462,000"
"Czech Republic",1999,"From 5 to 10 years","721,000"
"Czech Republic",1999,"Over 10 years","2,018,000"
"Denmark",1999,"Total","1,843,000"
"Denmark",1999,"Less than 2 years","446,000"
"Denmark",1999,"From 2 to 5 years","394,000"
"Denmark",1999,"From 5 to 10 years","390,000"
"Denmark",1999,"Over 10 years","613,000"
"Germany (until 1990 former territory of the FRG)",1999,"Total","42,324,000"
"Germany (until 1990 former territory of the FRG)",1999,"Less than 2 years","5,775,000"
"Germany (until 1990 former territory of the FRG)",1999,"From 2 to 5 years","10,134,000"
"Germany (until 1990 former territory of the FRG)",1999,"From 5 to 10 years","15,499,000"
"Germany (until 1990 former territory of the FRG)",1999,"Over 10 years","10,916,000"
"Estonia",1999,"Total","458,700"
"Estonia",1999,"Less than 2 years","15,400"
"Estonia",1999,"From 2 to 5 years","27,000"
"Estonia",1999,"From 5 to 10 years","74,300"
"Estonia",1999,"Over 10 years","342,300"
"Ireland",1999,"Total","1,269,200"
"Ireland",1999,"Less than 2 years","297,200"
"Ireland",1999,"From 2 to 5 years","329,400"
"Ireland",1999,"From 5 to 10 years","416,900"
"Ireland",1999,"Over 10 years","225,700"
"Greece",1999,"Total","2,929,000"
"Spain",1999,"Total","16,848,000"
"Spain",1999,"Less than 2 years","3,806,000"
"Spain",1999,"From 2 to 5 years","2,705,000"
"Spain",1999,"From 5 to 10 years","4,597,000"
"Spain",1999,"Over 10 years","5,740,000"
"France",1999,"Total","27,480,000"
"France",1999,"Less than 2 years","4,155,000"
"France",1999,"From 2 to 5 years","5,761,000"
"France",1999,"From 5 to 10 years","9,224,000"
"France",1999,"Over 10 years","8,340,000"
"Croatia",1999,"Total","1,059,000"
"Croatia",1999,"Less than 2 years","166,000"
"Croatia",1999,"From 2 to 5 years","84,000"
"Croatia",1999,"From 5 to 10 years","345,000"
"Croatia",1999,"Over 10 years","464,000"
"Italy",1999,"Total","32,038,000"
"Italy",1999,"Less than 2 years","4,696,000"
"Italy",1999,"Over 10 years","11,925,000"
"Cyprus",1999,"Total","257,000"
"Cyprus",1999,"Less than 2 years","14,000"
"Cyprus",1999,"From 2 to 5 years","46,000"
"Cyprus",1999,"From 5 to 10 years","95,000"
"Cyprus",1999,"Over 10 years","102,000"
"Latvia",1999,"Total","526,000"
"Latvia",1999,"Less than 2 years","12,000"
"Latvia",1999,"From 2 to 5 years","11,000"
"Latvia",1999,"From 5 to 10 years","53,000"
"Latvia",1999,"Over 10 years","450,000"
"Lithuania",1999,"Total","1,089,334"
"Lithuania",1999,"Less than 2 years","9,300"
"Lithuania",1999,"From 2 to 5 years","10,800"
"Lithuania",1999,"From 5 to 10 years","114,100"
"Lithuania",1999,"Over 10 years","955,134"
"Luxembourg",1999,"Total","263,000"
"Luxembourg",1999,"Less than 2 years","69,000"
"Luxembourg",1999,"From 2 to 5 years","87,000"
"Luxembourg",1999,"From 5 to 10 years","62,000"
"Luxembourg",1999,"Over 10 years","45,000"
"Hungary",1999,"Total","2,256,000"
"Hungary",1999,"Less than 2 years","229,000"
"Hungary",1999,"From 2 to 5 years","224,000"
"Hungary",1999,"From 5 to 10 years","450,000"
"Hungary",1999,"Over 10 years","1,353,000"
"Malta",1999,"Total","182,642"
"Malta",1999,"Less than 2 years","19,653"
"Malta",1999,"From 2 to 5 years","34,243"
"Malta",1999,"From 5 to 10 years","48,471"
"Malta",1999,"Over 10 years","80,275"
"Netherlands",1999,"Total","6,343,000"
"Netherlands",1999,"Less than 2 years","1,123,000"
"Netherlands",1999,"From 2 to 5 years","1,303,000"
"Netherlands",1999,"From 5 to 10 years","2,032,000"
"Netherlands",1999,"Over 10 years","1,885,000"
"Austria",1999,"Total","4,010,000"
"Austria",1999,"Less than 2 years","574,000"
"Austria",1999,"From 2 to 5 years","819,000"
"Austria",1999,"From 5 to 10 years","1,323,000"
"Austria",1999,"Over 10 years","1,294,000"
"Poland",1999,"Total","9,283,000"
"Portugal",1999,"Total","4,932,000"
"Portugal",1999,"Less than 2 years","659,000"
"Portugal",1999,"From 2 to 5 years","741,000"
"Portugal",1999,"From 5 to 10 years","1,189,000"
"Portugal",1999,"Over 10 years","2,343,000"
"Romania",1999,"Total","2,980,014"
"Slovenia",1999,"Total","849,000"
"Slovenia",1999,"Less than 2 years","206,000"
"Slovenia",1999,"From 2 to 5 years","185,000"
"Slovenia",1999,"From 5 to 10 years","286,000"
"Slovenia",1999,"Over 10 years","172,000"
"Slovakia",1999,"Total","1,236,400"
"Finland",1999,"Total","2,083,000"
"Finland",1999,"Less than 2 years","264,000"
"Finland",1999,"From 2 to 5 years","284,000"
"Finland",1999,"From 5 to 10 years","421,000"
"Finland",1999,"Over 10 years","1,101,000"
"Sweden",1999,"Total","3,890,000"
"Sweden",1999,"Less than 2 years","816,000"
"Sweden",1999,"From 2 to 5 years","479,000"
"Sweden",1999,"From 5 to 10 years","901,000"
"Sweden",1999,"Over 10 years","1,694,000"
"United Kingdom",1999,"Total","24,628,000"
"United Kingdom",1999,"Less than 2 years","4,298,000"
"United Kingdom",1999,"From 2 to 5 years","5,666,000"
"United Kingdom",1999,"From 5 to 10 years","7,598,000"
"United Kingdom",1999,"Over 10 years","6,413,000"
"Iceland",1999,"Total","151,000"
"Iceland",1999,"Less than 2 years","43,000"
"Iceland",1999,"From 2 to 5 years","20,000"
"Iceland",1999,"From 5 to 10 years","36,000"
"Iceland",1999,"Over 10 years","52,000"
"Liechtenstein",1999,"Total","21,000"
"Norway",1999,"Total","1,814,000"
"Norway",1999,"Less than 2 years","218,000"
"Norway",1999,"From 2 to 5 years","350,000"
"Norway",1999,"From 5 to 10 years","456,000"
"Norway",1999,"Over 10 years","790,000"
"Switzerland",1999,"Total","3,467,000"
"Switzerland",1999,"Less than 2 years","579,000"
"Switzerland",1999,"From 2 to 5 years","756,000"
"Switzerland",1999,"From 5 to 10 years","1,180,000"
"Switzerland",1999,"Over 10 years","951,000"
"Former Yugoslav Republic of Macedonia, the",1999,"Total","290,000"
"Former Yugoslav Republic of Macedonia, the",1999,"Less than 2 years","15,000"
"Former Yugoslav Republic of Macedonia, the",1999,"From 2 to 5 years","32,000"
"Former Yugoslav Republic of Macedonia, the",1999,"From 5 to 10 years","41,000"
"Former Yugoslav Republic of Macedonia, the",1999,"Over 10 years","202,000"
"Turkey",1999,"Total","4,072,326"
"Belgium",2000,"Total","4,678,000"
"Belgium",2000,"Less than 2 years","788,000"
"Belgium",2000,"From 2 to 5 years","1,093,000"
"Belgium",2000,"From 5 to 10 years","1,494,000"
"Belgium",2000,"Over 10 years","1,303,000"
"Bulgaria",2000,"Total","1,993,000"
"Czech Republic",2000,"Total","3,438,900"
"Czech Republic",2000,"Less than 2 years","250,500"
"Czech Republic",2000,"From 2 to 5 years","479,400"
"Czech Republic",2000,"From 5 to 10 years","687,800"
"Czech Republic",2000,"Over 10 years","2,021,200"
"Denmark",2000,"Total","1,854,000"
"Denmark",2000,"Less than 2 years","407,000"
"Denmark",2000,"From 2 to 5 years","407,000"
"Denmark",2000,"From 5 to 10 years","445,000"
"Denmark",2000,"Over 10 years","596,000"
"Germany (until 1990 former territory of the FRG)",2000,"Total","43,772,000"
"Germany (until 1990 former territory of the FRG)",2000,"Less than 2 years","7,166,000"
"Germany (until 1990 former territory of the FRG)",2000,"From 2 to 5 years","10,387,000"
"Germany (until 1990 former territory of the FRG)",2000,"From 5 to 10 years","15,219,000"
"Germany (until 1990 former territory of the FRG)",2000,"Over 10 years","11,000,000"
"Estonia",2000,"Total","463,900"
"Estonia",2000,"Less than 2 years","16,600"
"Estonia",2000,"From 2 to 5 years","32,200"
"Estonia",2000,"From 5 to 10 years","65,600"
"Estonia",2000,"Over 10 years","349,600"
"Ireland",2000,"Total","1,319,000"
"Ireland",2000,"Less than 2 years","374,000"
"Ireland",2000,"From 2 to 5 years","369,000"
"Ireland",2000,"From 5 to 10 years","394,000"
"Ireland",2000,"Over 10 years","183,000"
"Greece",2000,"Total","3,195,000"
"Spain",2000,"Total","17,449,000"
"Spain",2000,"Less than 2 years","4,097,000"
"Spain",2000,"From 2 to 5 years","2,842,000"
"Spain",2000,"From 5 to 10 years","4,379,000"
"Spain",2000,"Over 10 years","6,131,000"
"France",2000,"Total","28,060,000"
"France",2000,"Less than 2 years","4,404,000"
"France",2000,"From 2 to 5 years","5,780,000"
"France",2000,"From 5 to 10 years","8,933,000"
"France",2000,"Over 10 years","8,943,000"
"Croatia",2000,"Total","1,119,000"
"Croatia",2000,"Less than 2 years","174,000"
"Croatia",2000,"From 2 to 5 years","127,000"
"Croatia",2000,"From 5 to 10 years","295,000"
"Croatia",2000,"Over 10 years","523,000"
"Italy",2000,"Total","32,584,000"
"Italy",2000,"Less than 2 years","4,636,000"
"Italy",2000,"From 2 to 5 years","11,382,000"
"Italy",2000,"From 5 to 10 years","9,278,000"
"Italy",2000,"Over 10 years","7,288,000"
"Cyprus",2000,"Total","268,000"
"Cyprus",2000,"Less than 2 years","14,000"
"Cyprus",2000,"From 2 to 5 years","35,000"
"Cyprus",2000,"From 5 to 10 years","106,000"
"Cyprus",2000,"Over 10 years","112,000"
"Latvia",2000,"Total","556,800"
"Latvia",2000,"Less than 2 years","10,600"
"Latvia",2000,"From 2 to 5 years","15,300"
"Latvia",2000,"From 5 to 10 years","52,700"
"Latvia",2000,"Over 10 years","478,200"
"Lithuania",2000,"Total","1,172,394"
"Lithuania",2000,"Less than 2 years","8,360"
"Lithuania",2000,"From 2 to 5 years","14,531"
"Lithuania",2000,"From 5 to 10 years","93,792"
"Lithuania",2000,"Over 10 years","1,055,711"
"Luxembourg",2000,"Total","273,090"
"Luxembourg",2000,"Less than 2 years","73,270"
"Luxembourg",2000,"From 2 to 5 years","72,980"
"Luxembourg",2000,"From 5 to 10 years","77,060"
"Luxembourg",2000,"Over 10 years","48,780"
"Hungary",2000,"Total","2,365,000"
"Hungary",2000,"Less than 2 years","259,000"
"Hungary",2000,"From 2 to 5 years","262,000"
"Hungary",2000,"From 5 to 10 years","369,000"
"Hungary",2000,"Over 10 years","1,475,000"
"Malta",2000,"Total","189,123"
"Malta",2000,"Less than 2 years","21,100"
"Malta",2000,"From 2 to 5 years","30,190"
"Malta",2000,"From 5 to 10 years","91,010"
"Malta",2000,"Over 10 years","46,823"
"Netherlands",2000,"Total","6,539,000"
"Netherlands",2000,"Less than 2 years","1,175,000"
"Netherlands",2000,"From 2 to 5 years","1,401,000"
"Netherlands",2000,"From 5 to 10 years","2,018,000"
"Netherlands",2000,"Over 10 years","1,945,000"
"Austria",2000,"Total","4,097,000"
"Austria",2000,"Less than 2 years","589,000"
"Austria",2000,"From 2 to 5 years","826,000"
"Austria",2000,"From 5 to 10 years","1,323,000"
"Austria",2000,"Over 10 years","1,359,000"
"Poland",2000,"Total","9,991,300"
"Portugal",2000,"Total","5,260,000"
"Portugal",2000,"Less than 2 years","673,000"
"Portugal",2000,"From 2 to 5 years","836,000"
"Portugal",2000,"From 5 to 10 years","1,199,000"
"Portugal",2000,"Over 10 years","2,552,000"
"Romania",2000,"Total","3,128,782"
"Slovenia",2000,"Total","869,000"
"Slovenia",2000,"Less than 2 years","205,000"
"Slovenia",2000,"From 2 to 5 years","201,000"
"Slovenia",2000,"From 5 to 10 years","277,000"
"Slovenia",2000,"Over 10 years","186,000"
"Slovakia",2000,"Total","1,274,200"
"Finland",2000,"Total","2,135,000"
"Finland",2000,"Less than 2 years","274,000"
"Finland",2000,"From 2 to 5 years","329,000"
"Finland",2000,"From 5 to 10 years","368,000"
"Finland",2000,"Over 10 years","1,150,000"
"Sweden",2000,"Total","3,999,000"
"Sweden",2000,"Less than 2 years","867,000"
"Sweden",2000,"From 2 to 5 years","581,000"
"Sweden",2000,"From 5 to 10 years","860,000"
"Sweden",2000,"Over 10 years","1,691,000"
"United Kingdom",2000,"Total","25,067,000"
"United Kingdom",2000,"Less than 2 years","4,383,000"
"United Kingdom",2000,"From 2 to 5 years","6,009,000"
"United Kingdom",2000,"From 5 to 10 years","7,581,000"
"United Kingdom",2000,"Over 10 years","6,433,000"
"Iceland",2000,"Total","159,000"
"Iceland",2000,"Less than 2 years","49,000"
"Iceland",2000,"From 2 to 5 years","24,000"
"Iceland",2000,"From 5 to 10 years","35,000"
"Iceland",2000,"Over 10 years","51,000"
"Liechtenstein",2000,"Total","22,000"
"Liechtenstein",2000,"Less than 2 years","4,000"
"Liechtenstein",2000,"From 2 to 5 years","5,000"
"Liechtenstein",2000,"From 5 to 10 years","7,000"
"Liechtenstein",2000,"Over 10 years","5,000"
"Norway",2000,"Total","1,851,000"
"Norway",2000,"Less than 2 years","200,000"
"Norway",2000,"From 2 to 5 years","384,000"
"Norway",2000,"From 5 to 10 years","470,000"
"Norway",2000,"Over 10 years","797,000"
"Switzerland",2000,"Total","3,545,000"
"Switzerland",2000,"Less than 2 years","613,000"
"Switzerland",2000,"From 2 to 5 years","774,000"
"Switzerland",2000,"From 5 to 10 years","1,154,000"
"Switzerland",2000,"Over 10 years","1,005,000"
"Former Yugoslav Republic of Macedonia, the",2000,"Total","300,000"
"Former Yugoslav Republic of Macedonia, the",2000,"Less than 2 years","19,000"
"Former Yugoslav Republic of Macedonia, the",2000,"From 2 to 5 years","28,000"
"Former Yugoslav Republic of Macedonia, the",2000,"From 5 to 10 years","45,000"
"Former Yugoslav Republic of Macedonia, the",2000,"Over 10 years","208,000"
"Turkey",2000,"Total","4,422,180"
"Belgium",2001,"Total","4,740,000"
"Belgium",2001,"Less than 2 years","760,000"
"Belgium",2001,"From 2 to 5 years","1,158,000"
"Belgium",2001,"From 5 to 10 years","1,463,000"
"Belgium",2001,"Over 10 years","1,359,000"
"Bulgaria",2001,"Total","2,086,000"
"Czech Republic",2001,"Total","3,529,800"
"Czech Republic",2001,"Less than 2 years","256,300"
"Czech Republic",2001,"From 2 to 5 years","465,900"
"Czech Republic",2001,"From 5 to 10 years","749,300"
"Czech Republic",2001,"Over 10 years","2,058,200"
"Denmark",2001,"Total","1,873,000"
"Denmark",2001,"Less than 2 years","340,000"
"Denmark",2001,"From 2 to 5 years","434,000"
"Denmark",2001,"From 5 to 10 years","496,000"
"Denmark",2001,"Over 10 years","603,000"
"Germany (until 1990 former territory of the FRG)",2001,"Total","44,383,000"
"Germany (until 1990 former territory of the FRG)",2001,"Less than 2 years","6,705,000"
"Germany (until 1990 former territory of the FRG)",2001,"From 2 to 5 years","10,582,000"
"Germany (until 1990 former territory of the FRG)",2001,"From 5 to 10 years","14,694,000"
"Germany (until 1990 former territory of the FRG)",2001,"Over 10 years","12,402,000"
"Estonia",2001,"Total","407,300"
"Estonia",2001,"Less than 2 years","22,000"
"Estonia",2001,"From 2 to 5 years","36,100"
"Estonia",2001,"From 5 to 10 years","58,300"
"Estonia",2001,"Over 10 years","290,800"
"Ireland",2001,"Total","1,404,000"
"Ireland",2001,"Less than 2 years","360,000"
"Ireland",2001,"From 2 to 5 years","416,000"
"Ireland",2001,"From 5 to 10 years","404,000"
"Ireland",2001,"Over 10 years","204,000"
"Greece",2001,"Total","3,424,000"
"Spain",2001,"Total","18,151,000"
"Spain",2001,"Less than 2 years","2,841,000"
"Spain",2001,"From 2 to 5 years","3,713,000"
"Spain",2001,"From 5 to 10 years","4,355,000"
"Spain",2001,"Over 10 years","7,242,000"
"France",2001,"Total","28,700,000"
"France",2001,"Less than 2 years","4,528,000"
"France",2001,"From 2 to 5 years","5,840,000"
"France",2001,"From 5 to 10 years","9,173,000"
"France",2001,"Over 10 years","9,160,000"
"Croatia",2001,"Total","1,185,000"
"Croatia",2001,"Less than 2 years","184,000"
"Croatia",2001,"From 2 to 5 years","166,000"
"Croatia",2001,"From 5 to 10 years","263,000"
"Croatia",2001,"Over 10 years","572,000"
"Italy",2001,"Total","33,239,000"
"Italy",2001,"Less than 2 years","4,727,000"
"Italy",2001,"From 2 to 5 years","12,124,000"
"Italy",2001,"From 5 to 10 years","8,782,000"
"Italy",2001,"Over 10 years","7,607,000"
"Cyprus",2001,"Total","280,000"
"Cyprus",2001,"Less than 2 years","17,000"
"Cyprus",2001,"From 2 to 5 years","28,000"
"Cyprus",2001,"From 5 to 10 years","114,000"
"Cyprus",2001,"Over 10 years","121,000"
"Latvia",2001,"Total","586,200"
"Latvia",2001,"Less than 2 years","11,800"
"Latvia",2001,"From 2 to 5 years","18,800"
"Latvia",2001,"From 5 to 10 years","46,900"
"Latvia",2001,"Over 10 years","508,700"
"Lithuania",2001,"Total","1,133,477"
"Lithuania",2001,"Less than 2 years","10,079"
"Lithuania",2001,"From 2 to 5 years","13,616"
"Lithuania",2001,"From 5 to 10 years","58,160"
"Lithuania",2001,"Over 10 years","1,051,622"
"Luxembourg",2001,"Total","281,000"
"Luxembourg",2001,"Less than 2 years","75,000"
"Luxembourg",2001,"From 2 to 5 years","79,000"
"Luxembourg",2001,"From 5 to 10 years","74,000"
"Luxembourg",2001,"Over 10 years","53,000"
"Hungary",2001,"Total","2,482,800"
"Hungary",2001,"Less than 2 years","277,500"
"Hungary",2001,"From 2 to 5 years","316,700"
"Hungary",2001,"From 5 to 10 years","405,700"
"Hungary",2001,"Over 10 years","1,482,900"
"Malta",2001,"Total","195,400"
"Malta",2001,"Less than 2 years","19,100"
"Malta",2001,"From 2 to 5 years","32,800"
"Malta",2001,"From 5 to 10 years","77,700"
"Malta",2001,"Over 10 years","65,800"
"Netherlands",2001,"Total","6,711,000"
"Netherlands",2001,"Less than 2 years","1,092,000"
"Netherlands",2001,"From 2 to 5 years","1,546,000"
"Netherlands",2001,"From 5 to 10 years","2,038,000"
"Netherlands",2001,"Over 10 years","2,035,000"
"Austria",2001,"Total","4,182,000"
"Austria",2001,"Less than 2 years","565,000"
"Austria",2001,"From 2 to 5 years","828,000"
"Austria",2001,"From 5 to 10 years","1,340,000"
"Austria",2001,"Over 10 years","1,449,000"
"Poland",2001,"Total","10,503,100"
"Portugal",2001,"Total","5,537,000"
"Romania",2001,"Total","3,225,500"
"Slovenia",2001,"Total","885,000"
"Slovenia",2001,"Less than 2 years","184,000"
"Slovenia",2001,"From 2 to 5 years","217,000"
"Slovenia",2001,"From 5 to 10 years","272,000"
"Slovenia",2001,"Over 10 years","212,000"
"Slovakia",2001,"Total","1,292,800"
"Finland",2001,"Total","2,161,000"
"Finland",2001,"Less than 2 years","246,000"
"Finland",2001,"From 2 to 5 years","373,000"
"Finland",2001,"From 5 to 10 years","372,000"
"Finland",2001,"Over 10 years","1,156,000"
"Sweden",2001,"Total","4,019,000"
"Sweden",2001,"Less than 2 years","824,000"
"Sweden",2001,"From 2 to 5 years","702,000"
"Sweden",2001,"From 5 to 10 years","804,000"
"Sweden",2001,"Over 10 years","1,688,000"
"United Kingdom",2001,"Total","25,783,000"
"United Kingdom",2001,"Less than 2 years","4,705,000"
"United Kingdom",2001,"From 2 to 5 years","6,243,000"
"United Kingdom",2001,"From 5 to 10 years","8,003,000"
"United Kingdom",2001,"Over 10 years","6,175,000"
"Iceland",2001,"Total","160,000"
"Iceland",2001,"Less than 2 years","38,000"
"Iceland",2001,"From 2 to 5 years","35,000"
"Iceland",2001,"From 5 to 10 years","36,000"
"Iceland",2001,"Over 10 years","51,000"
"Liechtenstein",2001,"Total","22,630"
"Liechtenstein",2001,"Less than 2 years","5,000"
"Liechtenstein",2001,"From 2 to 5 years","6,000"
"Liechtenstein",2001,"From 5 to 10 years","7,000"
"Liechtenstein",2001,"Over 10 years","5,000"
"Switzerland",2001,"Total","3,630,000"
"Switzerland",2001,"Less than 2 years","609,000"
"Switzerland",2001,"From 2 to 5 years","819,000"
"Switzerland",2001,"From 5 to 10 years","1,141,000"
"Switzerland",2001,"Over 10 years","1,060,000"
"Former Yugoslav Republic of Macedonia, the",2001,"Total","310,000"
"Former Yugoslav Republic of Macedonia, the",2001,"Less than 2 years","13,000"
"Former Yugoslav Republic of Macedonia, the",2001,"From 2 to 5 years","26,000"
"Former Yugoslav Republic of Macedonia, the",2001,"From 5 to 10 years","46,000"
"Former Yugoslav Republic of Macedonia, the",2001,"Over 10 years","225,000"
"Turkey",2001,"Total","4,534,800"
"Belgium",2002,"Total","4,787,000"
"Belgium",2002,"Less than 2 years","726,000"
"Belgium",2002,"From 2 to 5 years","1,229,000"
"Belgium",2002,"From 5 to 10 years","1,420,000"
"Belgium",2002,"Over 10 years","1,412,000"
"Bulgaria",2002,"Total","2,174,100"
"Czech Republic",2002,"Total","3,647,100"
"Czech Republic",2002,"Less than 2 years","261,300"
"Czech Republic",2002,"From 2 to 5 years","447,300"
"Czech Republic",2002,"From 5 to 10 years","808,500"
"Czech Republic",2002,"Over 10 years","2,129,900"
"Denmark",2002,"Total","1,888,000"
"Denmark",2002,"Less than 2 years","306,000"
"Denmark",2002,"From 2 to 5 years","433,000"
"Denmark",2002,"From 5 to 10 years","546,000"
"Denmark",2002,"Over 10 years","603,000"
"Germany (until 1990 former territory of the FRG)",2002,"Total","44,657,000"
"Germany (until 1990 former territory of the FRG)",2002,"Less than 2 years","6,597,000"
"Germany (until 1990 former territory of the FRG)",2002,"From 2 to 5 years","10,307,000"
"Germany (until 1990 former territory of the FRG)",2002,"From 5 to 10 years","14,431,000"
"Germany (until 1990 former territory of the FRG)",2002,"Over 10 years","13,322,000"
"Estonia",2002,"Total","400,700"
"Estonia",2002,"Less than 2 years","26,700"
"Estonia",2002,"From 2 to 5 years","41,900"
"Estonia",2002,"From 5 to 10 years","53,400"
"Estonia",2002,"Over 10 years","278,700"
"Ireland",2002,"Total","1,470,000"
"Ireland",2002,"Less than 2 years","289,000"
"Ireland",2002,"From 2 to 5 years","500,000"
"Ireland",2002,"From 5 to 10 years","463,000"
"Ireland",2002,"Over 10 years","197,000"
"Greece",2002,"Total","3,646,000"
"Spain",2002,"Total","18,733,000"
"Spain",2002,"Less than 2 years","2,758,000"
"Spain",2002,"From 2 to 5 years","4,007,000"
"Spain",2002,"From 5 to 10 years","4,418,000"
"Spain",2002,"Over 10 years","7,550,000"
"France",2002,"Total","29,160,000"
