"Država","Leto","Druzina","Procenti"
"Bulgaria",2007,"Two adults",45
"Bulgaria",2007,"Three or more adults",33.2
"Bulgaria",2007,"Households without dependent children",40
"Bulgaria",2007,"Households with dependent children",37.6
"Czech Republic",2007,"Total",11.8
"Czech Republic",2007,"Single person",16.9
"Czech Republic",2007,"Single female",17.6
"Czech Republic",2007,"Single male",15.8
"Czech Republic",2007,"Two adults",9.5
"Czech Republic",2007,"Three or more adults",8.9
"Czech Republic",2007,"Households without dependent children",10.8
"Czech Republic",2007,"Households with dependent children",12.8
"Denmark",2007,"Total",8.7
"Denmark",2007,"Single person",19.1
"Denmark",2007,"Single female",20
"Denmark",2007,"Single male",18.1
"Denmark",2007,"Two adults",4.7
"Denmark",2007,"Three or more adults",4.9
"Denmark",2007,"Households without dependent children",10.8
"Denmark",2007,"Households with dependent children",6.4
"Germany (until 1990 former territory of the FRG)",2007,"Total",5.1
"Germany (until 1990 former territory of the FRG)",2007,"Single person",13.6
"Germany (until 1990 former territory of the FRG)",2007,"Single female",14
"Germany (until 1990 former territory of the FRG)",2007,"Single male",13
"Germany (until 1990 former territory of the FRG)",2007,"Two adults",3.3
"Germany (until 1990 former territory of the FRG)",2007,"Three or more adults",1.7
"Germany (until 1990 former territory of the FRG)",2007,"Households without dependent children",6.5
"Germany (until 1990 former territory of the FRG)",2007,"Households with dependent children",3.4
"Estonia",2007,"Total",20.5
"Estonia",2007,"Single person",29.2
"Estonia",2007,"Single female",30
"Estonia",2007,"Single male",27.8
"Estonia",2007,"Two adults",23.4
"Estonia",2007,"Three or more adults",20.2
"Estonia",2007,"Households without dependent children",24.5
"Estonia",2007,"Households with dependent children",17.1
"Ireland",2007,"Total",9.1
"Ireland",2007,"Single person",10
"Ireland",2007,"Single female",8.5
"Ireland",2007,"Single male",11.3
"Ireland",2007,"Two adults",8.5
"Ireland",2007,"Three or more adults",11.4
"Ireland",2007,"Households without dependent children",9.7
"Ireland",2007,"Households with dependent children",8.8
"Greece",2007,"Total",9.3
"Greece",2007,"Single person",22.2
"Greece",2007,"Single female",19.5
"Greece",2007,"Single male",27.1
"Greece",2007,"Two adults",12.4
"Greece",2007,"Three or more adults",7.9
"Greece",2007,"Households without dependent children",11.8
"Greece",2007,"Households with dependent children",6.8
"Spain",2007,"Total",4.9
"Spain",2007,"Single person",6.2
"Spain",2007,"Single female",6.5
"Spain",2007,"Single male",5.7
"Spain",2007,"Two adults",4.7
"Spain",2007,"Three or more adults",3.8
"Spain",2007,"Households without dependent children",4.6
"Spain",2007,"Households with dependent children",5.2
"France",2007,"Total",3.5
"France",2007,"Single person",7.5
"France",2007,"Single female",8.2
"France",2007,"Single male",6.5
"France",2007,"Two adults",1.9
"France",2007,"Three or more adults",2.2
"France",2007,"Households without dependent children",3.7
"France",2007,"Households with dependent children",3.4
"Italy",2007,"Total",2.8
"Italy",2007,"Single person",6.4
"Italy",2007,"Single female",7.2
"Italy",2007,"Single male",5.3
"Italy",2007,"Two adults",3.1
"Italy",2007,"Three or more adults",1.7
"Italy",2007,"Households without dependent children",3.4
"Italy",2007,"Households with dependent children",2.2
"Cyprus",2007,"Total",1.7
"Cyprus",2007,"Single person",8.4
"Cyprus",2007,"Single female",7.3
"Cyprus",2007,"Single male",10.2
"Cyprus",2007,"Two adults",2.1
"Cyprus",2007,"Three or more adults",0.5
"Cyprus",2007,"Households without dependent children",2.5
"Cyprus",2007,"Households with dependent children",1.3
"Latvia",2007,"Total",28.6
"Latvia",2007,"Single person",33.9
"Latvia",2007,"Single female",31.5
"Latvia",2007,"Single male",39.4
"Latvia",2007,"Two adults",32.4
"Latvia",2007,"Three or more adults",31.9
"Latvia",2007,"Households without dependent children",32.6
"Latvia",2007,"Households with dependent children",25.5
"Lithuania",2007,"Total",15.3
"Lithuania",2007,"Single person",16.2
"Lithuania",2007,"Single female",14.1
"Lithuania",2007,"Single male",21.1
"Lithuania",2007,"Two adults",15.5
"Lithuania",2007,"Three or more adults",16.6
"Lithuania",2007,"Households without dependent children",16
"Lithuania",2007,"Households with dependent children",14.9
"Luxembourg",2007,"Total",1.5
"Luxembourg",2007,"Single person",4.8
"Luxembourg",2007,"Single female",5.2
"Luxembourg",2007,"Single male",4.2
"Luxembourg",2007,"Two adults",0.5
"Luxembourg",2007,"Three or more adults",0.2
"Luxembourg",2007,"Households without dependent children",1.6
"Luxembourg",2007,"Households with dependent children",1.4
"Hungary",2007,"Total",22.8
"Hungary",2007,"Single person",27.6
"Hungary",2007,"Single female",26.5
"Hungary",2007,"Single male",30.1
"Hungary",2007,"Two adults",21.7
"Hungary",2007,"Three or more adults",18.8
"Hungary",2007,"Households without dependent children",22.1
"Hungary",2007,"Households with dependent children",23.3
"Malta",2007,"Total",3.1
"Malta",2007,"Single person",8.6
"Malta",2007,"Single female",8.6
"Malta",2007,"Single male",8.7
"Malta",2007,"Two adults",3.4
"Malta",2007,"Three or more adults",2.4
"Malta",2007,"Households without dependent children",3.7
"Malta",2007,"Households with dependent children",2.6
"Netherlands",2007,"Total",5.5
"Netherlands",2007,"Single person",15.7
"Netherlands",2007,"Single female",17.8
"Netherlands",2007,"Single male",13.1
"Netherlands",2007,"Two adults",3.2
"Netherlands",2007,"Three or more adults",1.3
"Netherlands",2007,"Households without dependent children",6.9
"Netherlands",2007,"Households with dependent children",4
"Austria",2007,"Total",5.7
"Austria",2007,"Single person",9.3
"Austria",2007,"Single female",9.7
"Austria",2007,"Single male",8.7
"Austria",2007,"Two adults",5.2
"Austria",2007,"Three or more adults",2.4
"Austria",2007,"Households without dependent children",5.7
"Austria",2007,"Households with dependent children",5.8
"Poland",2007,"Total",19.6
"Poland",2007,"Single person",23.1
"Poland",2007,"Single female",21.5
"Poland",2007,"Single male",26.6
"Poland",2007,"Two adults",22.5
"Poland",2007,"Three or more adults",18.9
"Poland",2007,"Households without dependent children",21.3
"Poland",2007,"Households with dependent children",18.4
"Portugal",2007,"Total",11.4
"Portugal",2007,"Single person",14.3
"Portugal",2007,"Single female",12.4
"Portugal",2007,"Single male",18.4
"Portugal",2007,"Two adults",12.7
"Portugal",2007,"Three or more adults",10.1
"Portugal",2007,"Households without dependent children",11.9
"Portugal",2007,"Households with dependent children",11
"Romania",2007,"Total",56.6
"Romania",2007,"Single person",57.2
"Romania",2007,"Single female",55.7
"Romania",2007,"Single male",59.8
"Romania",2007,"Two adults",54
"Romania",2007,"Three or more adults",54.4
"Romania",2007,"Households without dependent children",54.8
"Romania",2007,"Households with dependent children",57.8
"Slovenia",2007,"Total",3.5
"Slovenia",2007,"Single person",15.2
"Slovenia",2007,"Single female",15.9
"Slovenia",2007,"Single male",14
"Slovenia",2007,"Two adults",4.4
"Slovenia",2007,"Three or more adults",2.8
"Slovenia",2007,"Households without dependent children",5.7
"Slovenia",2007,"Households with dependent children",2
"Slovakia",2007,"Total",24
"Slovakia",2007,"Single person",32.7
"Slovakia",2007,"Single female",32.3
"Slovakia",2007,"Single male",34.1
"Slovakia",2007,"Two adults",27.8
"Slovakia",2007,"Three or more adults",20
"Slovakia",2007,"Households without dependent children",25.3
"Slovakia",2007,"Households with dependent children",22.9
"Finland",2007,"Total",8.4
"Finland",2007,"Single person",27.5
"Finland",2007,"Single female",34.2
"Finland",2007,"Single male",18.9
"Finland",2007,"Two adults",6.1
"Finland",2007,"Three or more adults",1.6
"Finland",2007,"Households without dependent children",13.1
"Finland",2007,"Households with dependent children",3.2
"Sweden",2007,"Total",3.8
"Sweden",2007,"Single person",9
"Sweden",2007,"Single female",8.4
"Sweden",2007,"Single male",9.6
"Sweden",2007,"Two adults",1.9
"Sweden",2007,"Three or more adults",1
"Sweden",2007,"Households without dependent children",4.5
"Sweden",2007,"Households with dependent children",3.2
"United Kingdom",2007,"Total",4.9
"United Kingdom",2007,"Single person",7.5
"United Kingdom",2007,"Single female",7.6
"United Kingdom",2007,"Single male",7.3
"United Kingdom",2007,"Two adults",3.1
"United Kingdom",2007,"Three or more adults",4
"United Kingdom",2007,"Households without dependent children",4.4
"United Kingdom",2007,"Households with dependent children",5.3
"Iceland",2007,"Total",1.4
"Iceland",2007,"Single person",6.2
"Iceland",2007,"Single female",7
"Iceland",2007,"Single male",5.4
"Iceland",2007,"Two adults",0.9
"Iceland",2007,"Three or more adults",0.7
"Iceland",2007,"Households without dependent children",2.4
"Iceland",2007,"Households with dependent children",0.8
"Norway",2007,"Total",5
"Norway",2007,"Single person",14.7
"Norway",2007,"Single female",14.7
"Norway",2007,"Single male",14.7
"Norway",2007,"Two adults",1.7
"Norway",2007,"Three or more adults",1.9
"Norway",2007,"Households without dependent children",7.3
"Norway",2007,"Households with dependent children",2.9
"Switzerland",2007,"Total",3.7
"Switzerland",2007,"Single person",8.2
"Switzerland",2007,"Single female",10
"Switzerland",2007,"Single male",5.6
"Switzerland",2007,"Two adults",2.5
"Switzerland",2007,"Three or more adults",2.8
"Switzerland",2007,"Households without dependent children",4.1
"Switzerland",2007,"Households with dependent children",3.3
"Turkey",2007,"Total",58.2
"Turkey",2007,"Single person",30.9
"Turkey",2007,"Single female",29.2
"Turkey",2007,"Single male",34.6
"Turkey",2007,"Two adults",49.6
"Turkey",2007,"Three or more adults",52.8
"Turkey",2007,"Households without dependent children",49.7
"Turkey",2007,"Households with dependent children",60.4
"European Union (27 countries)",2008,"Total",8.9
"European Union (27 countries)",2008,"Single person",12.7
"European Union (27 countries)",2008,"Single female",12.7
"European Union (27 countries)",2008,"Single male",12.7
"European Union (27 countries)",2008,"Two adults",6.7
"European Union (27 countries)",2008,"Three or more adults",8
"European Union (27 countries)",2008,"Households without dependent children",8.6
"European Union (27 countries)",2008,"Households with dependent children",9.2
"Euro area (19 countries)",2008,"Total",5.6
"Euro area (19 countries)",2008,"Single person",11.7
"Euro area (19 countries)",2008,"Single female",11.6
"Euro area (19 countries)",2008,"Single male",11.8
"Euro area (19 countries)",2008,"Two adults",4.4
"Euro area (19 countries)",2008,"Three or more adults",3.7
"Euro area (19 countries)",2008,"Households without dependent children",6.2
"Euro area (19 countries)",2008,"Households with dependent children",4.9
"Euro area (18 countries)",2008,"Total",5.5
"Euro area (18 countries)",2008,"Single person",11.7
"Euro area (18 countries)",2008,"Single female",11.6
"Euro area (18 countries)",2008,"Single male",11.7
"Euro area (18 countries)",2008,"Two adults",4.4
"Euro area (18 countries)",2008,"Three or more adults",3.6
"Euro area (18 countries)",2008,"Households without dependent children",6.2
"Euro area (18 countries)",2008,"Households with dependent children",4.8
"Belgium",2008,"Total",6.4
"Belgium",2008,"Single person",15.1
"Belgium",2008,"Single female",17
"Belgium",2008,"Single male",12.9
"Belgium",2008,"Two adults",3.2
"Belgium",2008,"Three or more adults",3.7
"Belgium",2008,"Households without dependent children",7
"Belgium",2008,"Households with dependent children",5.8
"Bulgaria",2008,"Total",28.2
"Bulgaria",2008,"Single person",35.9
"Bulgaria",2008,"Single female",35.6
"Bulgaria",2008,"Single male",36.4
"Bulgaria",2008,"Two adults",30.7
"Bulgaria",2008,"Three or more adults",23.8
"Bulgaria",2008,"Households without dependent children",28.3
"Bulgaria",2008,"Households with dependent children",28
"Czech Republic",2008,"Total",11
"Czech Republic",2008,"Single person",16.4
"Czech Republic",2008,"Single female",16.7
"Czech Republic",2008,"Single male",16
"Czech Republic",2008,"Two adults",10.1
"Czech Republic",2008,"Three or more adults",8.1
"Czech Republic",2008,"Households without dependent children",10.8
"Czech Republic",2008,"Households with dependent children",11.2
"Denmark",2008,"Total",7.6
"Denmark",2008,"Single person",20.6
"Denmark",2008,"Single female",22.6
"Denmark",2008,"Single male",18.6
"Denmark",2008,"Two adults",3.9
"Denmark",2008,"Three or more adults",2.5
"Denmark",2008,"Households without dependent children",11.3
"Denmark",2008,"Households with dependent children",3.5
"Germany (until 1990 former territory of the FRG)",2008,"Total",5.1
"Germany (until 1990 former territory of the FRG)",2008,"Single person",13.9
"Germany (until 1990 former territory of the FRG)",2008,"Single female",12.8
"Germany (until 1990 former territory of the FRG)",2008,"Single male",15.2
"Germany (until 1990 former territory of the FRG)",2008,"Two adults",3.1
"Germany (until 1990 former territory of the FRG)",2008,"Three or more adults",1.1
"Germany (until 1990 former territory of the FRG)",2008,"Households without dependent children",6.4
"Germany (until 1990 former territory of the FRG)",2008,"Households with dependent children",3.5
"Estonia",2008,"Total",17
"Estonia",2008,"Single person",24.5
"Estonia",2008,"Single female",23.8
"Estonia",2008,"Single male",25.7
"Estonia",2008,"Two adults",18.9
"Estonia",2008,"Three or more adults",13.4
"Estonia",2008,"Households without dependent children",19.6
"Estonia",2008,"Households with dependent children",14.6
"Ireland",2008,"Total",8.6
"Ireland",2008,"Single person",15.6
"Ireland",2008,"Single female",12.9
"Ireland",2008,"Single male",18.6
"Ireland",2008,"Two adults",7.3
"Ireland",2008,"Three or more adults",7.8
"Ireland",2008,"Households without dependent children",9.2
"Ireland",2008,"Households with dependent children",8.3
"Greece",2008,"Total",8.8
"Greece",2008,"Single person",19.9
"Greece",2008,"Single female",20
"Greece",2008,"Single male",19.7
"Greece",2008,"Two adults",11.6
"Greece",2008,"Three or more adults",7.5
"Greece",2008,"Households without dependent children",10.9
"Greece",2008,"Households with dependent children",6.6
"Spain",2008,"Total",5.9
"Spain",2008,"Single person",7.9
"Spain",2008,"Single female",7.3
"Spain",2008,"Single male",8.7
"Spain",2008,"Two adults",6
"Spain",2008,"Three or more adults",4
"Spain",2008,"Households without dependent children",5.5
"Spain",2008,"Households with dependent children",6.3
"France",2008,"Total",3.9
"France",2008,"Single person",7.5
"France",2008,"Single female",7.6
"France",2008,"Single male",7.4
"France",2008,"Two adults",2.3
"France",2008,"Three or more adults",3.2
"France",2008,"Households without dependent children",4.1
"France",2008,"Households with dependent children",3.8
"Italy",2008,"Total",3.1
"Italy",2008,"Single person",6.6
"Italy",2008,"Single female",7.2
"Italy",2008,"Single male",5.8
"Italy",2008,"Two adults",3.4
"Italy",2008,"Three or more adults",1.8
"Italy",2008,"Households without dependent children",3.6
"Italy",2008,"Households with dependent children",2.5
"Cyprus",2008,"Total",1.7
"Cyprus",2008,"Single person",5.7
"Cyprus",2008,"Single female",4.9
"Cyprus",2008,"Single male",6.5
"Cyprus",2008,"Two adults",2.2
"Cyprus",2008,"Three or more adults",1.3
"Cyprus",2008,"Households without dependent children",2.5
"Cyprus",2008,"Households with dependent children",1.1
"Latvia",2008,"Total",25
"Latvia",2008,"Single person",33.9
"Latvia",2008,"Single female",31.7
"Latvia",2008,"Single male",38.4
"Latvia",2008,"Two adults",29.5
"Latvia",2008,"Three or more adults",23.3
"Latvia",2008,"Households without dependent children",28.5
"Latvia",2008,"Households with dependent children",22.2
"Lithuania",2008,"Total",12.6
"Lithuania",2008,"Single person",14.1
"Lithuania",2008,"Single female",10.4
"Lithuania",2008,"Single male",22
"Lithuania",2008,"Two adults",12
"Lithuania",2008,"Three or more adults",15
"Lithuania",2008,"Households without dependent children",13.4
"Lithuania",2008,"Households with dependent children",11.9
"Luxembourg",2008,"Total",1.6
"Luxembourg",2008,"Single person",3.5
"Luxembourg",2008,"Single female",3.6
"Luxembourg",2008,"Single male",3.3
"Luxembourg",2008,"Two adults",1.8
"Luxembourg",2008,"Three or more adults",0.5
"Luxembourg",2008,"Households without dependent children",2
"Luxembourg",2008,"Households with dependent children",1.4
"Hungary",2008,"Total",20.4
"Hungary",2008,"Single person",26.7
"Hungary",2008,"Single female",24.1
"Hungary",2008,"Single male",32.4
"Hungary",2008,"Two adults",20.9
"Hungary",2008,"Three or more adults",14.4
"Hungary",2008,"Households without dependent children",20
"Hungary",2008,"Households with dependent children",20.7
"Malta",2008,"Total",2.1
"Malta",2008,"Single person",6.7
"Malta",2008,"Single female",6.1
"Malta",2008,"Single male",7.7
"Malta",2008,"Two adults",2.6
"Malta",2008,"Three or more adults",0.9
"Malta",2008,"Households without dependent children",2.4
"Malta",2008,"Households with dependent children",1.7
"Netherlands",2008,"Total",5
"Netherlands",2008,"Single person",13.6
"Netherlands",2008,"Single female",14.3
"Netherlands",2008,"Single male",12.7
"Netherlands",2008,"Two adults",4.3
"Netherlands",2008,"Three or more adults",2.2
"Netherlands",2008,"Households without dependent children",7
"Netherlands",2008,"Households with dependent children",3.1
"Austria",2008,"Total",6.8
"Austria",2008,"Single person",14.1
"Austria",2008,"Single female",14.3
"Austria",2008,"Single male",13.9
"Austria",2008,"Two adults",5.8
"Austria",2008,"Three or more adults",3.3
"Austria",2008,"Households without dependent children",7.7
"Austria",2008,"Households with dependent children",5.9
"Poland",2008,"Total",16.8
"Poland",2008,"Single person",20.7
"Poland",2008,"Single female",19.5
"Poland",2008,"Single male",23.4
"Poland",2008,"Two adults",20.2
"Poland",2008,"Three or more adults",16.4
"Poland",2008,"Households without dependent children",18.9
"Poland",2008,"Households with dependent children",15.4
"Portugal",2008,"Total",9.4
"Portugal",2008,"Single person",15.9
"Portugal",2008,"Single female",14.4
"Portugal",2008,"Single male",19.3
"Portugal",2008,"Two adults",11.7
"Portugal",2008,"Three or more adults",4.9
"Portugal",2008,"Households without dependent children",9.5
"Portugal",2008,"Households with dependent children",9.4
"Romania",2008,"Total",48.3
"Romania",2008,"Single person",33.2
"Romania",2008,"Single female",29
"Romania",2008,"Single male",40.9
"Romania",2008,"Two adults",39.5
"Romania",2008,"Three or more adults",51.1
"Romania",2008,"Households without dependent children",42
"Romania",2008,"Households with dependent children",52.2
"Slovenia",2008,"Total",3.4
"Slovenia",2008,"Single person",11.5
"Slovenia",2008,"Single female",12.1
"Slovenia",2008,"Single male",10.3
"Slovenia",2008,"Two adults",4.9
"Slovenia",2008,"Three or more adults",2.6
"Slovenia",2008,"Households without dependent children",5.1
"Slovenia",2008,"Households with dependent children",2.1
"Slovakia",2008,"Total",20.4
"Slovakia",2008,"Single person",29.3
"Slovakia",2008,"Single female",28.5
"Slovakia",2008,"Single male",31.8
"Slovakia",2008,"Two adults",23.1
"Slovakia",2008,"Three or more adults",16.5
"Slovakia",2008,"Households without dependent children",21.5
"Slovakia",2008,"Households with dependent children",19.7
"Finland",2008,"Total",8.1
"Finland",2008,"Single person",27.2
"Finland",2008,"Single female",34.1
"Finland",2008,"Single male",17.9
"Finland",2008,"Two adults",4.6
"Finland",2008,"Three or more adults",1.1
"Finland",2008,"Households without dependent children",12.3
"Finland",2008,"Households with dependent children",3.3
"Sweden",2008,"Total",3.3
"Sweden",2008,"Single person",8.9
"Sweden",2008,"Single female",9.9
"Sweden",2008,"Single male",7.8
"Sweden",2008,"Two adults",2
"Sweden",2008,"Three or more adults",0.8
"Sweden",2008,"Households without dependent children",4.4
"Sweden",2008,"Households with dependent children",2.2
"United Kingdom",2008,"Total",5.2
"United Kingdom",2008,"Single person",6.2
"United Kingdom",2008,"Single female",6.3
"United Kingdom",2008,"Single male",6.2
"United Kingdom",2008,"Two adults",2.5
"United Kingdom",2008,"Three or more adults",3.6
"United Kingdom",2008,"Households without dependent children",3.7
"United Kingdom",2008,"Households with dependent children",6.7
"Iceland",2008,"Total",1.5
"Iceland",2008,"Single person",5.4
"Iceland",2008,"Single female",7.4
"Iceland",2008,"Single male",3.7
"Iceland",2008,"Two adults",1.1
"Iceland",2008,"Three or more adults",1
"Iceland",2008,"Households without dependent children",2.4
"Iceland",2008,"Households with dependent children",0.9
"Norway",2008,"Total",4.8
"Norway",2008,"Single person",13.7
"Norway",2008,"Single female",13.9
"Norway",2008,"Single male",13.5
"Norway",2008,"Two adults",1.7
"Norway",2008,"Three or more adults",3
"Norway",2008,"Households without dependent children",6.6
"Norway",2008,"Households with dependent children",3.1
"Switzerland",2008,"Total",3.7
"Switzerland",2008,"Single person",9.4
"Switzerland",2008,"Single female",10.3
"Switzerland",2008,"Single male",8.1
"Switzerland",2008,"Two adults",2.9
"Switzerland",2008,"Three or more adults",1.3
"Switzerland",2008,"Households without dependent children",4.3
"Switzerland",2008,"Households with dependent children",2.9
"Turkey",2008,"Total",57.6
"Turkey",2008,"Single person",40.9
"Turkey",2008,"Single female",39.7
"Turkey",2008,"Single male",43.9
"Turkey",2008,"Two adults",50.6
"Turkey",2008,"Three or more adults",50.9
"Turkey",2008,"Households without dependent children",49.9
"Turkey",2008,"Households with dependent children",59.8
"European Union (27 countries)",2009,"Total",8.5
"European Union (27 countries)",2009,"Single person",12.5
"European Union (27 countries)",2009,"Single female",12.2
"European Union (27 countries)",2009,"Single male",12.8
"European Union (27 countries)",2009,"Two adults",6.2
"European Union (27 countries)",2009,"Three or more adults",7.7
"European Union (27 countries)",2009,"Households without dependent children",8.3
"European Union (27 countries)",2009,"Households with dependent children",8.7
"Euro area (19 countries)",2009,"Total",5.6
"Euro area (19 countries)",2009,"Single person",11.8
"Euro area (19 countries)",2009,"Single female",11.5
"Euro area (19 countries)",2009,"Single male",12.1
"Euro area (19 countries)",2009,"Two adults",4.3
"Euro area (19 countries)",2009,"Three or more adults",3.6
"Euro area (19 countries)",2009,"Households without dependent children",6.2
"Euro area (19 countries)",2009,"Households with dependent children",4.9
"Euro area (18 countries)",2009,"Total",5.5
"Euro area (18 countries)",2009,"Single person",11.7
"Euro area (18 countries)",2009,"Single female",11.4
"Euro area (18 countries)",2009,"Single male",12
"Euro area (18 countries)",2009,"Two adults",4.2
"Euro area (18 countries)",2009,"Three or more adults",3.5
"Euro area (18 countries)",2009,"Households without dependent children",6.1
"Euro area (18 countries)",2009,"Households with dependent children",4.8
"Belgium",2009,"Total",6.5
"Belgium",2009,"Single person",15
"Belgium",2009,"Single female",17
"Belgium",2009,"Single male",12.8
"Belgium",2009,"Two adults",3.2
"Belgium",2009,"Three or more adults",2.1
"Belgium",2009,"Households without dependent children",6.7
"Belgium",2009,"Households with dependent children",6.4
"Bulgaria",2009,"Total",24.9
"Bulgaria",2009,"Single person",30.4
"Bulgaria",2009,"Single female",30.1
"Bulgaria",2009,"Single male",31.1
"Bulgaria",2009,"Two adults",27
"Bulgaria",2009,"Three or more adults",23.1
"Bulgaria",2009,"Households without dependent children",25.8
"Bulgaria",2009,"Households with dependent children",24.1
"Czech Republic",2009,"Total",10.2
"Czech Republic",2009,"Single person",18.5
"Czech Republic",2009,"Single female",19
"Czech Republic",2009,"Single male",17.8
"Czech Republic",2009,"Two adults",9.3
"Czech Republic",2009,"Three or more adults",8.7
"Czech Republic",2009,"Households without dependent children",11
"Czech Republic",2009,"Households with dependent children",9.5
"Denmark",2009,"Total",8.5
"Denmark",2009,"Single person",20.1
"Denmark",2009,"Single female",19.9
"Denmark",2009,"Single male",20.3
"Denmark",2009,"Two adults",4.9
"Denmark",2009,"Three or more adults",5.1
"Denmark",2009,"Households without dependent children",11.7
"Denmark",2009,"Households with dependent children",4.9
"Germany (until 1990 former territory of the FRG)",2009,"Total",6
"Germany (until 1990 former territory of the FRG)",2009,"Single person",14.6
"Germany (until 1990 former territory of the FRG)",2009,"Single female",13.4
"Germany (until 1990 former territory of the FRG)",2009,"Single male",16
"Germany (until 1990 former territory of the FRG)",2009,"Two adults",3.5
"Germany (until 1990 former territory of the FRG)",2009,"Three or more adults",2
"Germany (until 1990 former territory of the FRG)",2009,"Households without dependent children",7
"Germany (until 1990 former territory of the FRG)",2009,"Households with dependent children",4.5
"Estonia",2009,"Total",17.6
"Estonia",2009,"Single person",26.8
"Estonia",2009,"Single female",26.1
"Estonia",2009,"Single male",28.1
"Estonia",2009,"Two adults",17.4
"Estonia",2009,"Three or more adults",17.2
"Estonia",2009,"Households without dependent children",20.3
"Estonia",2009,"Households with dependent children",15.1
"Ireland",2009,"Total",9.1
"Ireland",2009,"Single person",14.4
"Ireland",2009,"Single female",10.6
"Ireland",2009,"Single male",18.7
"Ireland",2009,"Two adults",9.4
"Ireland",2009,"Three or more adults",11.2
"Ireland",2009,"Households without dependent children",10.9
"Ireland",2009,"Households with dependent children",7.9
"Greece",2009,"Total",8.1
"Greece",2009,"Single person",20.8
"Greece",2009,"Single female",19.5
"Greece",2009,"Single male",23.1
"Greece",2009,"Two adults",9.8
"Greece",2009,"Three or more adults",6
"Greece",2009,"Households without dependent children",9.7
"Greece",2009,"Households with dependent children",6.3
"Spain",2009,"Total",5.7
"Spain",2009,"Single person",7.8
"Spain",2009,"Single female",7.2
"Spain",2009,"Single male",8.6
"Spain",2009,"Two adults",5.3
"Spain",2009,"Three or more adults",3.8
"Spain",2009,"Households without dependent children",5.1
"Spain",2009,"Households with dependent children",6.2
"France",2009,"Total",3.7
"France",2009,"Single person",7.3
"France",2009,"Single female",6.7
"France",2009,"Single male",8.1
"France",2009,"Two adults",2.2
"France",2009,"Three or more adults",2.7
"France",2009,"Households without dependent children",3.9
"France",2009,"Households with dependent children",3.5
"Italy",2009,"Total",2.7
"Italy",2009,"Single person",5.6
"Italy",2009,"Single female",6.4
"Italy",2009,"Single male",4.4
"Italy",2009,"Two adults",2.8
"Italy",2009,"Three or more adults",1.5
"Italy",2009,"Households without dependent children",3
"Italy",2009,"Households with dependent children",2.3
"Cyprus",2009,"Total",1.7
"Cyprus",2009,"Single person",3.1
"Cyprus",2009,"Single female",3.3
"Cyprus",2009,"Single male",2.9
"Cyprus",2009,"Two adults",2.1
"Cyprus",2009,"Three or more adults",1.1
"Cyprus",2009,"Households without dependent children",2
"Cyprus",2009,"Households with dependent children",1.5
"Latvia",2009,"Total",26.7
"Latvia",2009,"Single person",30.4
"Latvia",2009,"Single female",27.8
"Latvia",2009,"Single male",35.9
"Latvia",2009,"Two adults",29.2
"Latvia",2009,"Three or more adults",25.4
"Latvia",2009,"Households without dependent children",28.3
"Latvia",2009,"Households with dependent children",25.3
"Lithuania",2009,"Total",15.2
"Lithuania",2009,"Single person",21.5
"Lithuania",2009,"Single female",20.8
"Lithuania",2009,"Single male",23.1
"Lithuania",2009,"Two adults",17.2
"Lithuania",2009,"Three or more adults",13.8
"Lithuania",2009,"Households without dependent children",17.5
"Lithuania",2009,"Households with dependent children",13.5
"Luxembourg",2009,"Total",2.6
"Luxembourg",2009,"Single person",4.9
"Luxembourg",2009,"Single female",5.6
"Luxembourg",2009,"Single male",4.1
"Luxembourg",2009,"Two adults",2.3
"Luxembourg",2009,"Three or more adults",1.1
"Luxembourg",2009,"Households without dependent children",2.7
"Luxembourg",2009,"Households with dependent children",2.5
"Hungary",2009,"Total",20.8
"Hungary",2009,"Single person",26.4
"Hungary",2009,"Single female",25.1
"Hungary",2009,"Single male",29.2
"Hungary",2009,"Two adults",20.5
"Hungary",2009,"Three or more adults",15.3
"Hungary",2009,"Households without dependent children",20.1
"Hungary",2009,"Households with dependent children",21.3
"Malta",2009,"Total",2.1
"Malta",2009,"Single person",7.6
"Malta",2009,"Single female",7.4
"Malta",2009,"Single male",7.9
"Malta",2009,"Two adults",2.5
"Malta",2009,"Three or more adults",1.1
"Malta",2009,"Households without dependent children",2.6
"Malta",2009,"Households with dependent children",1.6
"Netherlands",2009,"Total",4.4
"Netherlands",2009,"Single person",14.3
"Netherlands",2009,"Single female",14.5
"Netherlands",2009,"Single male",14.2
"Netherlands",2009,"Two adults",2.9
"Netherlands",2009,"Three or more adults",1.5
"Netherlands",2009,"Households without dependent children",6.5
"Netherlands",2009,"Households with dependent children",2.4
"Austria",2009,"Total",5.2
"Austria",2009,"Single person",11.4
"Austria",2009,"Single female",11.3
"Austria",2009,"Single male",11.5
"Austria",2009,"Two adults",3.9
"Austria",2009,"Three or more adults",2.4
"Austria",2009,"Households without dependent children",5.9
"Austria",2009,"Households with dependent children",4.5
"Poland",2009,"Total",14.2
"Poland",2009,"Single person",17.6
"Poland",2009,"Single female",15.7
"Poland",2009,"Single male",21.9
"Poland",2009,"Two adults",15.9
"Poland",2009,"Three or more adults",14.8
"Poland",2009,"Households without dependent children",15.9
"Poland",2009,"Households with dependent children",13.1
"Portugal",2009,"Total",10.1
"Portugal",2009,"Single person",14.2
