"Država","Leto","Gorivo","Število"
"Austria",1997,"All Petroleum Products","2,703,000"
"Austria",1997,"Diesel","1,080,000"
"Austria",1997,"Electrical Energy","0"
"Poland",1997,"Total","8,533,449"
"Poland",1997,"All Petroleum Products","7,732,400"
"Poland",1997,"Diesel","774,100"
"Poland",1997,"Electrical Energy","26,900"
"Portugal",1997,"Total","4,273,000"
"Romania",1997,"Total","2,605,465"
"Slovenia",1997,"Total","779,000"
"Slovenia",1997,"All Petroleum Products","706,000"
"Slovenia",1997,"LPG","1,000"
"Slovenia",1997,"Diesel","72,000"
"Slovenia",1997,"Electrical Energy","0"
"Slovakia",1997,"Total","1,135,914"
"Slovakia",1997,"All Petroleum Products","886,960"
"Slovakia",1997,"Diesel","82,380"
"Slovakia",1997,"Electrical Energy","712"
"Finland",1997,"Total","1,948,000"
"Finland",1997,"All Petroleum Products","1,772,000"
"Finland",1997,"LPG","0"
"Finland",1997,"Diesel","163,000"
"Finland",1997,"Electrical Energy","0"
"Sweden",1997,"Total","3,702,000"
"Sweden",1997,"All Petroleum Products","3,572,000"
"Sweden",1997,"Diesel","128,000"
"United Kingdom",1997,"Total","23,450,000"
"United Kingdom",1997,"All Petroleum Products","20,385,000"
"United Kingdom",1997,"LPG","6,000"
"United Kingdom",1997,"Diesel","2,439,000"
"United Kingdom",1997,"Electrical Energy","116"
"Iceland",1997,"Total","132,000"
"Iceland",1997,"All Petroleum Products","123,000"
"Iceland",1997,"Diesel","9,000"
"Liechtenstein",1997,"Total","20,000"
"Liechtenstein",1997,"All Petroleum Products","19,000"
"Liechtenstein",1997,"Diesel","1,000"
"Liechtenstein",1997,"Electrical Energy","0"
"Norway",1997,"Total","1,758,000"
"Norway",1997,"All Petroleum Products","1,653,000"
"Switzerland",1997,"Total","3,323,000"
"Switzerland",1997,"All Petroleum Products","3,216,000"
"Switzerland",1997,"Diesel","106,000"
"Switzerland",1997,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1997,"Total","289,204"
"Former Yugoslav Republic of Macedonia, the",1997,"All Petroleum Products","279,500"
"Former Yugoslav Republic of Macedonia, the",1997,"Diesel","8,400"
"Former Yugoslav Republic of Macedonia, the",1997,"Electrical Energy","0"
"Turkey",1997,"Total","3,570,105"
"Belgium",1998,"Total","4,492,000"
"Belgium",1998,"All Petroleum Products","2,784,000"
"Belgium",1998,"LPG","45,000"
"Belgium",1998,"Diesel","1,643,000"
"Bulgaria",1998,"Total","1,809,000"
"Czech Republic",1998,"Total","3,492,961"
"Czech Republic",1998,"All Petroleum Products","3,189,084"
"Czech Republic",1998,"Diesel","295,526"
"Czech Republic",1998,"Electrical Energy","0"
"Denmark",1998,"Total","1,817,000"
"Denmark",1998,"All Petroleum Products","1,734,000"
"Denmark",1998,"LPG","0"
"Denmark",1998,"Diesel","83,000"
"Denmark",1998,"Electrical Energy","0"
"Germany (until 1990 former territory of the FRG)",1998,"Total","41,674,000"
"Germany (until 1990 former territory of the FRG)",1998,"All Petroleum Products","36,181,000"
"Germany (until 1990 former territory of the FRG)",1998,"Diesel","5,487,000"
"Germany (until 1990 former territory of the FRG)",1998,"Electrical Energy","3,000"
"Estonia",1998,"Total","450,954"
"Estonia",1998,"All Petroleum Products","412,300"
"Estonia",1998,"Diesel","387,000"
"Ireland",1998,"Total","1,196,900"
"Ireland",1998,"All Petroleum Products","1,028,100"
"Ireland",1998,"LPG","0"
"Ireland",1998,"Diesel","167,900"
"Greece",1998,"Total","2,676,000"
"Greece",1998,"All Petroleum Products","2,645,000"
"Greece",1998,"Diesel","29,000"
"Spain",1998,"All Petroleum Products","12,681,000"
"Spain",1998,"Diesel","3,369,000"
"France",1998,"Total","26,810,000"
"France",1998,"Diesel","8,609,000"
"Croatia",1998,"Total","1,000,000"
"Croatia",1998,"All Petroleum Products","809,000"
"Croatia",1998,"Diesel","191,000"
"Italy",1998,"Total","31,573,000"
"Italy",1998,"All Petroleum Products","26,268,000"
"Italy",1998,"LPG","1,556,000"
"Italy",1998,"Diesel","3,748,000"
"Cyprus",1998,"Total","249,000"
"Cyprus",1998,"All Petroleum Products","223,000"
"Cyprus",1998,"LPG","0"
"Cyprus",1998,"Diesel","26,000"
"Cyprus",1998,"Electrical Energy","0"
"Latvia",1998,"Total","482,670"
"Latvia",1998,"All Petroleum Products","449,000"
"Latvia",1998,"Diesel","34,000"
"Latvia",1998,"Electrical Energy","0"
"Lithuania",1998,"Total","980,910"
"Luxembourg",1998,"Total","253,000"
"Hungary",1998,"Total","2,218,124"
"Hungary",1998,"All Petroleum Products","2,009,717"
"Hungary",1998,"LPG","1,000"
"Hungary",1998,"Diesel","205,450"
"Hungary",1998,"Electrical Energy","1,000"
"Malta",1998,"Total","173,700"
"Malta",1998,"Diesel","28,451"
"Netherlands",1998,"Total","6,120,000"
"Netherlands",1998,"All Petroleum Products","5,051,000"
"Netherlands",1998,"LPG","351,000"
"Netherlands",1998,"Diesel","718,000"
"Austria",1998,"Total","3,887,000"
"Austria",1998,"All Petroleum Products","2,680,000"
"Austria",1998,"Diesel","1,207,000"
"Austria",1998,"Electrical Energy","169,000"
"Poland",1998,"Total","8,890,763"
"Poland",1998,"All Petroleum Products","8,048,000"
"Poland",1998,"Diesel","814,000"
"Portugal",1998,"Total","4,587,000"
"Romania",1998,"Total","2,822,254"
"Slovenia",1998,"Total","814,000"
"Slovenia",1998,"All Petroleum Products","735,000"
"Slovenia",1998,"LPG","0"
"Slovenia",1998,"Diesel","78,000"
"Slovenia",1998,"Electrical Energy","0"
"Slovakia",1998,"Total","1,196,109"
"Finland",1998,"Total","2,021,000"
"Finland",1998,"All Petroleum Products","1,829,000"
"Finland",1998,"LPG","0"
"Finland",1998,"Diesel","179,000"
"Finland",1998,"Electrical Energy","0"
"Sweden",1998,"Total","3,791,000"
"Sweden",1998,"All Petroleum Products","3,629,000"
"Sweden",1998,"Diesel","161,000"
"United Kingdom",1998,"Total","23,922,000"
"United Kingdom",1998,"All Petroleum Products","20,591,000"
"United Kingdom",1998,"LPG","9,000"
"United Kingdom",1998,"Diesel","2,693,000"
"Iceland",1998,"Total","140,000"
"Iceland",1998,"All Petroleum Products","129,000"
"Iceland",1998,"Diesel","11,000"
"Liechtenstein",1998,"Total","20,000"
"Liechtenstein",1998,"All Petroleum Products","20,000"
"Liechtenstein",1998,"Diesel","1,000"
"Liechtenstein",1998,"Electrical Energy","0"
"Norway",1998,"Total","1,786,000"
"Norway",1998,"All Petroleum Products","1,673,000"
"Switzerland",1998,"Total","3,383,000"
"Switzerland",1998,"All Petroleum Products","3,269,000"
"Switzerland",1998,"LPG","0"
"Switzerland",1998,"Diesel","113,000"
"Switzerland",1998,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1998,"Total","288,678"
"Former Yugoslav Republic of Macedonia, the",1998,"All Petroleum Products","277,000"
"Former Yugoslav Republic of Macedonia, the",1998,"Diesel","10,000"
"Former Yugoslav Republic of Macedonia, the",1998,"Electrical Energy","0"
"Turkey",1998,"Total","3,838,288"
"Belgium",1999,"Total","4,584,000"
"Belgium",1999,"All Petroleum Products","2,769,000"
"Belgium",1999,"LPG","46,000"
"Belgium",1999,"Diesel","1,749,000"
"Bulgaria",1999,"Total","1,908,000"
"Czech Republic",1999,"Total","3,440,000"
"Czech Republic",1999,"All Petroleum Products","3,091,000"
"Czech Republic",1999,"Diesel","341,000"
"Czech Republic",1999,"Electrical Energy","0"
"Denmark",1999,"Total","1,843,000"
"Denmark",1999,"All Petroleum Products","1,750,000"
"Denmark",1999,"LPG","0"
"Denmark",1999,"Diesel","93,000"
"Denmark",1999,"Electrical Energy","0"
"Germany (until 1990 former territory of the FRG)",1999,"Total","42,324,000"
"Germany (until 1990 former territory of the FRG)",1999,"All Petroleum Products","36,668,000"
"Germany (until 1990 former territory of the FRG)",1999,"Diesel","5,633,000"
"Germany (until 1990 former territory of the FRG)",1999,"Electrical Energy","3,000"
"Estonia",1999,"Total","458,700"
"Estonia",1999,"All Petroleum Products","416,000"
"Estonia",1999,"Diesel","43,000"
"Ireland",1999,"Total","1,269,200"
"Ireland",1999,"All Petroleum Products","1,095,500"
"Ireland",1999,"LPG","0"
"Ireland",1999,"Diesel","173,000"
"Greece",1999,"Total","2,929,000"
"Spain",1999,"Total","16,848,000"
"Spain",1999,"All Petroleum Products","12,803,000"
"Spain",1999,"Diesel","4,044,000"
"France",1999,"Total","27,480,000"
"France",1999,"All Petroleum Products","18,099,000"
"France",1999,"LPG","107,000"
"France",1999,"Diesel","9,261,000"
"France",1999,"Electrical Energy","2,000"
"Croatia",1999,"Total","1,059,000"
"Croatia",1999,"All Petroleum Products","850,000"
"Croatia",1999,"Diesel","209,000"
"Italy",1999,"Total","32,038,000"
"Italy",1999,"All Petroleum Products","26,387,000"
"Italy",1999,"LPG","1,254,000"
"Italy",1999,"Diesel","4,132,000"
"Italy",1999,"Electrical Energy","1,000"
"Cyprus",1999,"Total","257,000"
"Cyprus",1999,"All Petroleum Products","228,000"
"Cyprus",1999,"LPG","0"
"Cyprus",1999,"Diesel","29,000"
"Cyprus",1999,"Electrical Energy","0"
"Latvia",1999,"Total","526,000"
"Latvia",1999,"All Petroleum Products","485,000"
"Latvia",1999,"Diesel","41,000"
"Latvia",1999,"Electrical Energy","0"
"Lithuania",1999,"Total","1,089,334"
"Luxembourg",1999,"Total","263,000"
"Luxembourg",1999,"All Petroleum Products","194,000"
"Luxembourg",1999,"Diesel","69,000"
"Luxembourg",1999,"Electrical Energy","2"
"Hungary",1999,"Total","2,256,000"
"Hungary",1999,"All Petroleum Products","2,036,000"
"Hungary",1999,"LPG","1,000"
"Hungary",1999,"Diesel","216,000"
"Hungary",1999,"Electrical Energy","1,000"
"Malta",1999,"Total","182,642"
"Malta",1999,"All Petroleum Products","152,048"
"Malta",1999,"Diesel","30,594"
"Netherlands",1999,"Total","6,343,000"
"Netherlands",1999,"All Petroleum Products","5,215,000"
"Netherlands",1999,"LPG","331,000"
"Netherlands",1999,"Diesel","798,000"
"Austria",1999,"Total","4,010,000"
"Austria",1999,"All Petroleum Products","2,658,000"
"Austria",1999,"Diesel","1,351,000"
"Poland",1999,"Total","9,283,000"
"Poland",1999,"All Petroleum Products","8,380,000"
"Poland",1999,"Diesel","749,000"
"Portugal",1999,"Total","4,932,000"
"Romania",1999,"Total","2,980,014"
"Slovenia",1999,"Total","849,000"
"Slovenia",1999,"All Petroleum Products","763,000"
"Slovenia",1999,"LPG","1,000"
"Slovenia",1999,"Diesel","85,000"
"Slovenia",1999,"Electrical Energy","0"
"Slovakia",1999,"Total","1,236,400"
"Finland",1999,"Total","2,083,000"
"Finland",1999,"All Petroleum Products","1,873,000"
"Finland",1999,"LPG","0"
"Finland",1999,"Diesel","196,000"
"Finland",1999,"Electrical Energy","0"
"Sweden",1999,"Total","3,890,000"
"Sweden",1999,"All Petroleum Products","3,711,000"
"Sweden",1999,"LPG","10"
"Sweden",1999,"Diesel","179,000"
"Sweden",1999,"Electrical Energy","310"
"United Kingdom",1999,"Total","24,628,000"
"United Kingdom",1999,"All Petroleum Products","21,031,000"
"United Kingdom",1999,"LPG","13,000"
"United Kingdom",1999,"Diesel","2,930,000"
"Iceland",1999,"Total","151,000"
"Iceland",1999,"All Petroleum Products","137,000"
"Iceland",1999,"Diesel","14,000"
"Liechtenstein",1999,"Total","21,000"
"Liechtenstein",1999,"Diesel","1,000"
"Liechtenstein",1999,"Electrical Energy","0"
"Norway",1999,"Total","1,814,000"
"Norway",1999,"All Petroleum Products","1,691,000"
"Switzerland",1999,"Total","3,467,000"
"Switzerland",1999,"All Petroleum Products","3,342,000"
"Switzerland",1999,"Diesel","124,000"
"Switzerland",1999,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",1999,"Total","290,000"
"Former Yugoslav Republic of Macedonia, the",1999,"All Petroleum Products","276,000"
"Former Yugoslav Republic of Macedonia, the",1999,"Diesel","12,000"
"Former Yugoslav Republic of Macedonia, the",1999,"Electrical Energy","0"
"Turkey",1999,"Total","4,072,326"
"Belgium",2000,"Total","4,678,000"
"Belgium",2000,"All Petroleum Products","2,732,000"
"Belgium",2000,"LPG","59,000"
"Belgium",2000,"Diesel","1,867,000"
"Bulgaria",2000,"Total","1,993,000"
"Czech Republic",2000,"Total","3,438,900"
"Czech Republic",2000,"All Petroleum Products","3,048,500"
"Czech Republic",2000,"LPG","0"
"Czech Republic",2000,"Diesel","383,200"
"Czech Republic",2000,"Electrical Energy","0"
"Denmark",2000,"Total","1,854,000"
"Denmark",2000,"All Petroleum Products","1,748,000"
"Denmark",2000,"LPG","0"
"Denmark",2000,"Diesel","106,000"
"Denmark",2000,"Electrical Energy","0"
"Germany (until 1990 former territory of the FRG)",2000,"Total","43,772,000"
"Germany (until 1990 former territory of the FRG)",2000,"All Petroleum Products","37,406,000"
"Germany (until 1990 former territory of the FRG)",2000,"Diesel","6,357,000"
"Germany (until 1990 former territory of the FRG)",2000,"Electrical Energy","3,000"
"Estonia",2000,"Total","463,900"
"Estonia",2000,"All Petroleum Products","416,400"
"Estonia",2000,"Diesel","47,600"
"Ireland",2000,"Total","1,319,000"
"Ireland",2000,"All Petroleum Products","1,146,000"
"Ireland",2000,"LPG","0"
"Ireland",2000,"Diesel","173,000"
"Greece",2000,"Total","3,195,000"
"Spain",2000,"Total","17,449,000"
"Spain",2000,"All Petroleum Products","12,747,000"
"Spain",2000,"Diesel","4,702,000"
"France",2000,"Total","28,060,000"
"France",2000,"All Petroleum Products","18,080,000"
"France",2000,"LPG","123,000"
"France",2000,"Diesel","9,980,000"
"France",2000,"Electrical Energy","2,000"
"Croatia",2000,"Total","1,119,000"
"Croatia",2000,"All Petroleum Products","891,000"
"Croatia",2000,"Diesel","228,000"
"Italy",2000,"Total","32,584,000"
"Italy",2000,"All Petroleum Products","26,195,000"
"Italy",2000,"LPG","1,292,000"
"Italy",2000,"Diesel","4,798,000"
"Cyprus",2000,"Total","268,000"
"Cyprus",2000,"All Petroleum Products","237,000"
"Cyprus",2000,"LPG","0"
"Cyprus",2000,"Diesel","30,000"
"Cyprus",2000,"Electrical Energy","0"
"Latvia",2000,"Total","556,800"
"Latvia",2000,"All Petroleum Products","506,900"
"Latvia",2000,"LPG","0"
"Latvia",2000,"Diesel","49,700"
"Latvia",2000,"Electrical Energy","0"
"Lithuania",2000,"Total","1,172,394"
"Luxembourg",2000,"Total","273,090"
"Luxembourg",2000,"All Petroleum Products","193,350"
"Luxembourg",2000,"LPG","310"
"Luxembourg",2000,"Diesel","79,430"
"Luxembourg",2000,"Electrical Energy","0"
"Hungary",2000,"Total","2,365,000"
"Hungary",2000,"All Petroleum Products","2,128,000"
"Hungary",2000,"LPG","1,000"
"Hungary",2000,"Diesel","231,000"
"Hungary",2000,"Electrical Energy","1,000"
"Malta",2000,"Total","189,123"
"Malta",2000,"All Petroleum Products","151,253"
"Malta",2000,"Diesel","37,868"
"Malta",2000,"Electrical Energy","2"
"Netherlands",2000,"Total","6,539,000"
"Netherlands",2000,"All Petroleum Products","5,346,000"
"Netherlands",2000,"LPG","322,000"
"Netherlands",2000,"Diesel","871,000"
"Netherlands",2000,"Electrical Energy","0"
"Austria",2000,"Total","4,097,000"
"Austria",2000,"All Petroleum Products","2,598,000"
"Austria",2000,"Diesel","1,499,000"
"Poland",2000,"Total","9,991,300"
"Poland",2000,"All Petroleum Products","9,043,000"
"Poland",2000,"Diesel","797,300"
"Portugal",2000,"Total","5,260,000"
"Romania",2000,"Total","3,128,782"
"Slovenia",2000,"Total","869,000"
"Slovenia",2000,"All Petroleum Products","779,000"
"Slovenia",2000,"LPG","1,000"
"Slovenia",2000,"Diesel","89,000"
"Slovenia",2000,"Electrical Energy","0"
"Slovakia",2000,"Total","1,274,200"
"Finland",2000,"Total","2,135,000"
"Finland",2000,"All Petroleum Products","1,903,000"
"Finland",2000,"LPG","0"
"Finland",2000,"Diesel","218,000"
"Finland",2000,"Electrical Energy","0"
"Sweden",2000,"Total","3,999,000"
"Sweden",2000,"All Petroleum Products","3,804,000"
"Sweden",2000,"LPG","10"
"Sweden",2000,"Diesel","194,000"
"Sweden",2000,"Electrical Energy","320"
"United Kingdom",2000,"Total","25,067,000"
"United Kingdom",2000,"All Petroleum Products","21,233,000"
"United Kingdom",2000,"LPG","19,000"
"United Kingdom",2000,"Diesel","3,153,000"
"Iceland",2000,"Total","159,000"
"Iceland",2000,"All Petroleum Products","143,000"
"Iceland",2000,"Diesel","16,000"
"Liechtenstein",2000,"Total","22,000"
"Liechtenstein",2000,"All Petroleum Products","21,000"
"Liechtenstein",2000,"Diesel","1,000"
"Liechtenstein",2000,"Electrical Energy","0"
"Norway",2000,"Total","1,851,000"
"Norway",2000,"All Petroleum Products","1,716,000"
"Switzerland",2000,"Total","3,545,000"
"Switzerland",2000,"All Petroleum Products","3,402,000"
"Switzerland",2000,"Diesel","142,000"
"Switzerland",2000,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",2000,"Total","300,000"
"Former Yugoslav Republic of Macedonia, the",2000,"All Petroleum Products","282,000"
"Former Yugoslav Republic of Macedonia, the",2000,"Diesel","16,000"
"Former Yugoslav Republic of Macedonia, the",2000,"Electrical Energy","0"
"Turkey",2000,"Total","4,422,180"
"Belgium",2001,"Total","4,740,000"
"Belgium",2001,"All Petroleum Products","2,678,000"
"Belgium",2001,"LPG","72,000"
"Belgium",2001,"Diesel","1,971,000"
"Bulgaria",2001,"Total","2,086,000"
"Czech Republic",2001,"Total","3,529,800"
"Czech Republic",2001,"All Petroleum Products","3,090,900"
"Czech Republic",2001,"LPG","0"
"Czech Republic",2001,"Diesel","432,000"
"Czech Republic",2001,"Electrical Energy","0"
"Denmark",2001,"Total","1,873,000"
"Denmark",2001,"All Petroleum Products","1,752,000"
"Denmark",2001,"LPG","0"
"Denmark",2001,"Diesel","120,000"
"Denmark",2001,"Electrical Energy","0"
"Germany (until 1990 former territory of the FRG)",2001,"Total","44,383,000"
"Germany (until 1990 former territory of the FRG)",2001,"All Petroleum Products","37,396,000"
"Germany (until 1990 former territory of the FRG)",2001,"Diesel","6,975,000"
"Germany (until 1990 former territory of the FRG)",2001,"Electrical Energy","3,000"
"Estonia",2001,"Total","407,300"
"Estonia",2001,"All Petroleum Products","364,000"
"Estonia",2001,"Diesel","43,200"
"Ireland",2001,"Total","1,404,000"
"Ireland",2001,"All Petroleum Products","1,205,000"
"Ireland",2001,"LPG","0"
"Ireland",2001,"Diesel","179,000"
"Greece",2001,"Total","3,424,000"
"Spain",2001,"Total","18,151,000"
"Spain",2001,"All Petroleum Products","12,796,000"
"Spain",2001,"Diesel","5,355,000"
"France",2001,"Total","28,700,000"
"France",2001,"All Petroleum Products","17,811,000"
"France",2001,"LPG","134,000"
"France",2001,"Diesel","10,889,000"
"France",2001,"Electrical Energy","2,000"
"Croatia",2001,"Total","1,185,000"
"Croatia",2001,"All Petroleum Products","924,000"
"Croatia",2001,"Diesel","261,000"
"Italy",2001,"Total","33,239,000"
"Italy",2001,"All Petroleum Products","26,074,000"
"Italy",2001,"LPG","1,293,000"
"Italy",2001,"Diesel","5,542,000"
"Cyprus",2001,"Total","280,000"
"Cyprus",2001,"All Petroleum Products","247,000"
"Cyprus",2001,"LPG","0"
"Cyprus",2001,"Diesel","33,000"
"Cyprus",2001,"Electrical Energy","0"
"Latvia",2001,"Total","586,200"
"Latvia",2001,"All Petroleum Products","525,100"
"Latvia",2001,"LPG","0"
"Latvia",2001,"Diesel","61,000"
"Latvia",2001,"Electrical Energy","0"
"Lithuania",2001,"Total","1,133,477"
"Luxembourg",2001,"Total","281,000"
"Luxembourg",2001,"All Petroleum Products","189,000"
"Luxembourg",2001,"Diesel","92,000"
"Luxembourg",2001,"Electrical Energy","0"
"Hungary",2001,"Total","2,482,800"
"Hungary",2001,"All Petroleum Products","2,217,000"
"Hungary",2001,"LPG","900"
"Hungary",2001,"Diesel","255,900"
"Hungary",2001,"Electrical Energy","700"
"Malta",2001,"Total","195,400"
"Netherlands",2001,"Total","6,711,000"
"Netherlands",2001,"All Petroleum Products","5,468,000"
"Netherlands",2001,"LPG","312,000"
"Netherlands",2001,"Diesel","930,000"
"Netherlands",2001,"Electrical Energy","0"
"Austria",2001,"Total","4,182,000"
"Austria",2001,"All Petroleum Products","2,545,000"
"Austria",2001,"Diesel","1,637,000"
"Poland",2001,"Total","10,503,100"
"Poland",2001,"All Petroleum Products","9,213,300"
"Poland",2001,"Diesel","845,300"
"Portugal",2001,"Total","5,537,000"
"Romania",2001,"Total","3,225,500"
"Slovenia",2001,"Total","885,000"
"Slovenia",2001,"All Petroleum Products","787,000"
"Slovenia",2001,"LPG","1,000"
"Slovenia",2001,"Diesel","97,000"
"Slovenia",2001,"Electrical Energy","0"
"Slovakia",2001,"Total","1,292,800"
"Finland",2001,"Total","2,161,000"
"Finland",2001,"All Petroleum Products","1,916,000"
"Finland",2001,"LPG","0"
"Finland",2001,"Diesel","230,000"
"Finland",2001,"Electrical Energy","0"
"Sweden",2001,"Total","4,019,000"
"Sweden",2001,"All Petroleum Products","3,834,000"
"Sweden",2001,"LPG","10"
"Sweden",2001,"Diesel","185,000"
"Sweden",2001,"Electrical Energy","250"
"United Kingdom",2001,"Total","25,783,000"
"United Kingdom",2001,"All Petroleum Products","21,641,000"
"United Kingdom",2001,"LPG","21,000"
"United Kingdom",2001,"Diesel","3,460,000"
"Iceland",2001,"Total","160,000"
"Iceland",2001,"All Petroleum Products","143,000"
"Iceland",2001,"Diesel","17,000"
"Liechtenstein",2001,"Total","22,630"
"Liechtenstein",2001,"All Petroleum Products","21,000"
"Liechtenstein",2001,"Diesel","1,000"
"Liechtenstein",2001,"Electrical Energy","0"
"Switzerland",2001,"Total","3,630,000"
"Switzerland",2001,"All Petroleum Products","3,456,000"
"Switzerland",2001,"Diesel","171,000"
"Switzerland",2001,"Electrical Energy","1,000"
"Former Yugoslav Republic of Macedonia, the",2001,"Total","310,000"
"Former Yugoslav Republic of Macedonia, the",2001,"All Petroleum Products","288,000"
"Former Yugoslav Republic of Macedonia, the",2001,"Diesel","19,000"
"Former Yugoslav Republic of Macedonia, the",2001,"Electrical Energy","0"
"Turkey",2001,"Total","4,534,800"
"Belgium",2002,"Total","4,787,000"
"Belgium",2002,"All Petroleum Products","2,620,000"
"Belgium",2002,"LPG","74,000"
"Belgium",2002,"Diesel","2,074,000"
"Bulgaria",2002,"Total","2,174,100"
"Czech Republic",2002,"Total","3,647,100"
"Czech Republic",2002,"All Petroleum Products","3,116,200"
"Czech Republic",2002,"LPG","0"
"Czech Republic",2002,"Diesel","499,200"
"Czech Republic",2002,"Electrical Energy","0"
"Denmark",2002,"Total","1,888,000"
"Denmark",2002,"All Petroleum Products","1,749,000"
"Denmark",2002,"LPG","0"
"Denmark",2002,"Diesel","139,000"
"Denmark",2002,"Electrical Energy","0"
"Germany (until 1990 former territory of the FRG)",2002,"Total","44,657,000"
"Germany (until 1990 former territory of the FRG)",2002,"All Petroleum Products","37,029,000"
"Germany (until 1990 former territory of the FRG)",2002,"Diesel","7,608,000"
"Germany (until 1990 former territory of the FRG)",2002,"Electrical Energy","2,000"
"Estonia",2002,"Total","400,700"
"Estonia",2002,"All Petroleum Products","355,100"
"Estonia",2002,"Diesel","45,600"
"Ireland",2002,"Total","1,470,000"
"Ireland",2002,"All Petroleum Products","1,255,000"
"Ireland",2002,"LPG","0"
"Ireland",2002,"Diesel","192,000"
"Greece",2002,"Total","3,646,000"
"Spain",2002,"Total","18,733,000"
"Spain",2002,"All Petroleum Products","12,729,000"
"Spain",2002,"Diesel","6,004,000"
"France",2002,"Total","29,160,000"
"France",2002,"All Petroleum Products","17,338,000"
"France",2002,"LPG","140,000"
"France",2002,"Diesel","11,822,000"
"France",2002,"Electrical Energy","2,000"
"Croatia",2002,"Total","1,228,000"
"Croatia",2002,"All Petroleum Products","935,000"
"Croatia",2002,"Diesel","293,000"
"Italy",2002,"Total","33,706,000"
"Italy",2002,"All Petroleum Products","25,759,000"
"Italy",2002,"LPG","1,198,000"
"Italy",2002,"Diesel","6,404,000"
"Cyprus",2002,"Total","288,000"
"Cyprus",2002,"All Petroleum Products","254,000"
"Cyprus",2002,"Diesel","33,000"
"Latvia",2002,"Total","619,100"
"Latvia",2002,"All Petroleum Products","544,200"
"Latvia",2002,"LPG","0"
"Latvia",2002,"Diesel","74,800"
"Latvia",2002,"Electrical Energy","0"
"Lithuania",2002,"Total","1,180,945"
"Luxembourg",2002,"Total","287,000"
"Luxembourg",2002,"All Petroleum Products","182,000"
"Luxembourg",2002,"LPG","230"
"Luxembourg",2002,"Diesel","104,000"
"Luxembourg",2002,"Electrical Energy","0"
"Hungary",2002,"Total","2,629,500"
"Hungary",2002,"All Petroleum Products","2,322,000"
"Hungary",2002,"LPG","900"
"Hungary",2002,"Diesel","293,800"
"Hungary",2002,"Electrical Energy","500"
"Malta",2002,"Total","201,900"
"Malta",2002,"All Petroleum Products","150,100"
"Malta",2002,"Diesel","51,800"
"Malta",2002,"Electrical Energy","0"
"Netherlands",2002,"Total","6,855,000"
"Netherlands",2002,"All Petroleum Products","5,586,000"
"Netherlands",2002,"LPG","289,000"
"Netherlands",2002,"Diesel","979,000"
"Netherlands",2002,"Electrical Energy","1,000"
"Austria",2002,"Total","3,987,000"
"Austria",2002,"All Petroleum Products","2,244,000"
"Austria",2002,"Diesel","1,743,000"
"Poland",2002,"Total","11,028,900"
"Portugal",2002,"Total","5,788,000"
"Romania",2002,"Total","2,971,000"
"Slovenia",2002,"Total","914,500"
"Slovenia",2002,"All Petroleum Products","770,600"
"Slovenia",2002,"LPG","1,900"
"Slovenia",2002,"Diesel","142,000"
"Slovenia",2002,"Electrical Energy","0"
"Slovakia",2002,"Total","1,326,900"
"Finland",2002,"Total","2,195,000"
"Finland",2002,"All Petroleum Products","1,937,000"
"Finland",2002,"LPG","0"
"Finland",2002,"Diesel","243,000"
"Finland",2002,"Electrical Energy","0"
"Sweden",2002,"Total","4,043,000"
"Sweden",2002,"All Petroleum Products","3,853,000"
"Sweden",2002,"LPG","10"
"Sweden",2002,"Diesel","189,000"
"Sweden",2002,"Electrical Energy","210"
"United Kingdom",2002,"Total","26,460,000"
"United Kingdom",2002,"All Petroleum Products","21,839,000"
"United Kingdom",2002,"LPG","23,000"
"United Kingdom",2002,"Diesel","3,914,000"
"Iceland",2002,"Total","162,000"
"Iceland",2002,"All Petroleum Products","144,000"
"Iceland",2002,"Diesel","18,000"
"Liechtenstein",2002,"Total","23,000"
"Liechtenstein",2002,"All Petroleum Products","21,000"
"Liechtenstein",2002,"Diesel","2,000"
"Liechtenstein",2002,"Electrical Energy","0"
"Switzerland",2002,"Total","3,701,000"
"Switzerland",2002,"All Petroleum Products","3,487,000"
"Switzerland",2002,"Diesel","213,000"
"Former Yugoslav Republic of Macedonia, the",2002,"Total","308,000"
"Former Yugoslav Republic of Macedonia, the",2002,"All Petroleum Products","26,900"
"Former Yugoslav Republic of Macedonia, the",2002,"Diesel","36,000"
"Former Yugoslav Republic of Macedonia, the",2002,"Electrical Energy","0"
"Turkey",2002,"Total","4,600,140"
"Belgium",2003,"Total","4,821,000"
"Belgium",2003,"All Petroleum Products","2,557,000"
"Belgium",2003,"LPG","71,000"
"Belgium",2003,"Diesel","2,174,000"
"Bulgaria",2003,"Total","2,309,000"
"Czech Republic",2003,"Total","3,706,012"
"Czech Republic",2003,"All Petroleum Products","3,123,970"
"Czech Republic",2003,"LPG","0"
"Czech Republic",2003,"Diesel","575,935"
"Czech Republic",2003,"Electrical Energy","0"
"Germany (until 1990 former territory of the FRG)",2003,"Total","45,023,000"
"Germany (until 1990 former territory of the FRG)",2003,"All Petroleum Products","36,702,000"
